alt_id,comment,created_by,creation_date,def,name,property_value,subset,synonym,xref
,,,,"""Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O."" [EC:1.11.1.7, GO:0004601]",perodidase-71 content,,,"['""P71CN (related)"" RELATED []']",
,,,,"""Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D-glycerate."" [EC:5.4.2.1, GO:0004619]",phosphoglycerate mutase content,,,"['""PGAM (related)"" RELATED []', '""PGAMCN (related)"" RELATED []']",
,It represents the damage done by the diease and/or the pathogen to the plant. The damage is a direct measure of resistance to the particular bacterial strain causing the disease.,,,"""The resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a bacterial pathogen infection as compared to the susceptible and/or the reference plants of the same species."" [Gramene:pankaj_jaiswal]",bacterial disease resistance,,,,
,"Methods may include actual measurements on photosynthesis, pigment content or the content and composition of enzymes associated with photosynthesis.",,,"""The photosynthesis ability determined on a plant or the plant part under stress."" [Gramene:pankaj_jaiswal]",photosynthetic ability,,,"['""PHOTOSYNAB (related)"" RELATED []']",
,,,,"""Causal agent: Spodoptera litura."" [Gramene:pankaj_jaiswal]",cutworm resistance,,,"['""CUWRRS (related)"" RELATED []']",
,A reducing sugar is any sugar which in basic solution forms contain aldehyde or ketone groups that are oxidised to carboxylic acids.,,,"""Amount of reducing sugar present in the plant or plant part."" [Gramene:pankaj_jaiswal]",reducing sugar content,,,"['""REDSUGCN (related)"" RELATED []']",
,,,,"""Amount of Rubisco enzyme or protein present in a given plant or the plant part."" [Gramene:pankaj_jaiswal]",rubisco content,,,"['""RUBISCOCN (related)"" RELATED []']",
,,,,"""A ratio of the amount of rubisco protein to that of the chlorophyll content in a plant or plant part."" [Gramene:pankaj_jaiswal]",rubisco to chlorophyll ratio,,,"['""RUBISCOCHLRO (related)"" RELATED []']",
,,,,"""A ratio of the amount of rubisco protein to that of the total nitrogen content in a plant or plant part."" [Gramene:pankaj_jaiswal]",rubisco to nitrogen content ratio,,,"['""RUBISCONICNRO (related)"" RELATED []']",
,,,,"""Breeding objectives for each variety and trait varies. The evaluation should reflect the overall acceptability of the variety."" [IRRI:SES]",phenotypic acceptability,,,"['""overall liking (related)"" RELATED []', '""PAcp (related)"" RELATED []']",
,,,,"""Causal agent: Magnaporthe salvinii (Nakataea sigmoidea, Sclerotium oryzae), and Helminthosporium sigmoideum var. irregulare. Symptoms: dark lesions develop on the stems near the water line. Small, dark bodies (sclerotia) develop, weaken the stem and cause lodging."" [Gramene:pankaj_jaiswal, IRRI:SES]",stem rot disease resistance,,,"['""CULMROTRS (related)"" RELATED []', '""SR (related)"" RELATED []']",
,,,,"""A ratio of the amount of rubisco protein to that of the soluble protein content in a plant or plant part."" [Gramene:pankaj_jaiswal]",rubisco to soluble protein ratio,,,"['""RUBISCOSPROTRO (related)"" RELATED []']",
,,,,"""Amount of the soluble protein present in the plant or the plant part."" [Gramene:pankaj_jaiswal]",soluble protein content,,,"['""SPROTCN (related)"" RELATED []']",
,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts. If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",jaiswalp,,"""A leaf morphology trait (TO:0000748) which is the color of a leaf (PO:0025034)."" [Gramene:pankaj_jaiswal, PO:0025034, TO:cooperl]",leaf color,,,"['""LFCL (related)"" RELATED []']",['PATO:0000014']
,,,,"""A yield trait (TO: 0000371) that is the amount of a plant structure (PO:0009011) or portion of plant substance (PO:0025161) produced by the shoot system (PO:0009006) which is harvested."" [ISBN:0198506732, TO:cooperl]",shoot system yield trait,,,"['""BIOMYLD (related)"" RELATED []', '""BY (related)"" RELATED []']",['TO_GIT:289']
,,,,"""The amount of sucrose present in the plant or the plant part."" [Gramene:pankaj_jaiswal]",sucrose content,,,"['""saccharose content (related)"" RELATED []', '""SUCROSECN (related)"" RELATED []']",
,,,,"""Degree of tillering is affected by variety, spacing of plants in the field, season of planting, and environmental conditions e.g. nitrogen levels."" [Gramene:pankaj_jaiswal, ISBN:9712200299]",tillering ability,,,"['""Ti (related)"" RELATED []', '""TIAB (related)"" RELATED []']",
,.,,,"""It is a measure of percent seed set on the out-pollinated primary panicle."" [Gramene:pankaj_jaiswal, IRRI:SES]",outcrossing potential,,,"['""extent of outcrossing (related)"" RELATED []', '""extent of outcrossing on male sterile lines (related)"" RELATED []']",
,,,,"""Catalysis of the reaction: UDP-glucose + D-fructose 6-phosphate = UDP + sucrose 6-phosphate."" [EC:2.4.1.14, GO:0046524]",sucrose phosphate synthase activity trait,,,"['""SPS (related)"" RELATED []', '""SPSACT (related)"" RELATED []', '""sucrose 6-phosphate synthase (related)"" RELATED []', '""sucrose phosphate synthetase (related)"" RELATED []', '""sucrose phosphate-uridine diphosphate glucosyltransferase (related)"" RELATED []', '""sucrose-phosphate synthase activity (related)"" RELATED []', '""sucrosephosphate-UDP glucosyltransferase (related)"" RELATED []', '""UDP-glucose-fructose-phosphate glucosyltransferase (related)"" RELATED []', '""uridine diphosphoglucose-fructose phosphate glucosyltransferase (related)"" RELATED []']",
,,,,"""Causal agent: Hydrellia philippina. Symptoms: Leaf margin feeding causes conspicuous damage and sometimes stunting of plants."" [Gramene:pankaj_jaiswal, IRRI:SES]",rice whorl maggot resistance,,,"['""RWM (related)"" RELATED []', '""RWMRS (related)"" RELATED []']",
,,,,"""Amount of sugar present in the plant or the plant part."" [Gramene:pankaj_jaiswal]",sugar content,,,"['""SUGARCN (related)"" RELATED []']",
,"Refer to shape PATO:0000052: A morphological quality inhering in a bearer by virtue of the bearer's\nratios of distances between its features (points, edges, surfaces and\nalso holes etc).",,,"""A ligule morphology trait (TO:0002748) which is the actual shape of the ligule (PO:0020105)."" [IRRI:SES, PO:0020105, TO:cooperl]",ligule shape,,,"['""LIGSHP (related)"" RELATED []', '""LS (related)"" RELATED []']",['PATO:0000052']
,,,,"""A combined activity of both the alpha and beta amylase enzymes."" [EC:3.2.1.-, GO:0016160, Gramene:pankaj_jaiswal]",total amylase activity trait,,,"['""amylase activity (related)"" RELATED []', '""TAMYASEACT (related)"" RELATED []']",
,Less is the tiller angle compared to water surface the least is the chance of plant's survivability.,,,"""Represents the angle of the tiller in the submerged water fields (flash flooding)."" [IRRI:SES]",kneeing ability,,,"['""KnA (related)"" RELATED []', '""KNEAB (related)"" RELATED []', '""tiller angle (related)"" RELATED []']",
,,,,"""An amylase activity trait (TO:0000703) which is the quality of the hydrolysis of 1,4-alpha-glucosidic linkages in polysaccharides to remove successive maltose units from the non-reducing ends of the chains."" [EC:3.2.1.2, GO:0016161]",beta-amylase activity trait,,,"['""BETAAMYASEACT (related)"" RELATED []']",
['TO:0000535'],,,,"""Thickness of the stem."" [Gramene:pankaj_jaiswal]",stem thickness,,,"['""culm thickness (related)"" RELATED []', '""culm thickness (sensu Poaceae) (related)"" RELATED []', '""CULMTH (related)"" RELATED []', '""STEMTH (related)"" RELATED []']",
,,,,"""Total amount of soluble sugar present in the plant or plant part."" [Gramene:pankaj_jaiswal]",total soluble sugar content,,,"['""TSOLSUGARCN (related)"" RELATED []']",
,,,,"""Represents the angle of panicle axis."" [IRRI:SES]",panicle axis angle,,,"['""PnAk (related)"" RELATED []']",
,,,,"""A common grass weed Echinochloa glabbrescens or Echinochloa crus-galli (Barnyard grass), Typha spp. (Cattails), Leptochloa fascicularis (Bearded sprangletop) grows as a weed in the rice field. Can be distinguished from rice plant by the leaf shape, venation, stem cross-section and plant shape leaf shape."" [Gramene:pankaj_jaiswal, ISBN:9712200299, www:http//www.ipm.ucdavis.edu/PMG/r682700999.html]",grass weed,,,,
,"Often determinded by either pollen shedding, exsertion of the anthers or simply opening of the flower.",,,"""A flowering time trait (TO:0002616) which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [Gramene:pankaj_jaiswal, TO:cooperl]",days to flowering trait,,,"['""days to flowering (exact)"" EXACT []', '""Delay in flowering time (narrow)"" NARROW []', '""DTFL (related)"" RELATED []']",['TO_GIT:269']
,,,,,seed viability,,,"['""SDVIA (related)"" RELATED []']",
,,,,"""Number of tillers per plant, should represent most plants within a study."" [IRRI:SES]",tiller number,,,"['""TINB (related)"" RELATED []']",
,,,,"""Weeds reduce the yield regardless of planting season. They compete for sunlight, nutrients and water. If any of these is lacking, the others cannot be used effectively, even if a lot are present. Thus, the competition results in poor plant growth and less yield."" [Gramene:pankaj_jaiswal, ISBN:9712200299]",weed damage,,,,
,,,,"""Causal agent: Sogatodes orizicola (Muir), Sagotella furcifera and Sogatodes cubanus. Sogatodes orizicola is also a vector for the Rice black streaked dwarf fijivirus and rice hoja blanca  virus (RHBV)."" [Gramene:pankaj_jaiswal]",sogatodes resistance,,,"['""SAGRS (related)"" RELATED []']",
,,,,"""Abortion of microspore development at bi-nucleate stage."" [Gramene:pankaj_jaiswal, IRRI:SES]",cms-hl type,,,"['""CMS-HL (related)"" RELATED []', '""HLCMS (related)"" RELATED []']",
,,,,"""Sensitivity to the zinc content in the growth medium. It acts as cofactor for certain enzymes like Class II aldolases, metalloproteases, alkaline phosphatase, etc."" [Gramene:pankaj_jaiswal, IRRI:SES]",zinc sensitivity,,,"['""PDef (related)"" RELATED []', '""zinc deficiency (related)"" RELATED []', '""ZNSN (related)"" RELATED []']",
,,,,"""The dry weight of the whole plant."" [Gramene:pankaj_jaiswal37]",plant dry weight,,,"['""DMASS (related)"" RELATED []', '""dry mass (related)"" RELATED []', '""PTDWT (related)"" RELATED []', '""RTWT (related)"" RELATED []', '""total dry mass (related)"" RELATED []']",
,,,,"""Abortion at later stage of microspore development, the pollen looks like fertile pollen."" [Gramene:pankaj_jaiswal, IRRI:SES]",aborted at pollen maturity stage,,,"['""PMTABR (related)"" RELATED []']",
,,,,"""Sensitivity to aluminum content in the growth media."" [Gramene:pankaj_jaiswal]",aluminum sensitivity,,,"['""ALSN (related)"" RELATED []', '""aluminium sensitivity (exact)"" EXACT []', '""aluminum toxicity (related)"" RELATED []']",
,,,,"""Exceptional vigor of growth etc. in plants or in animal, resulting from cross breeding among inter or intra species."" [Gramene:pankaj_jaiswal]",heterosis,,,"['""HET (related)"" RELATED []', '""heterosis in f1 hybrid (related)"" RELATED []', '""hybrid vigor (related)"" RELATED []']",
,,,,"""Causal agent: Cochliobolus miyabeanus (Bipolaris oryzae, Drechslera oryzae). Symptom: typical leaf spots are small, oval or circular and dark brown. Larger lesions usually have same color on the edges but have a pale (usually grayish) center. Most spots have a light yellow halo around the outer edge."" [Gramene:pankaj_jaiswal, IRRI:SES]",brown spot disease resistance,,,"['""BS (related)"" RELATED []']",
,Growth and development traits are qualities of the development of the whole plant or plant parts.,jaiswalp,,"""A plant trait (TO:0000387) which is the growth (GO:0048590) and development (GO:0032502) of a plant anatomical entity (PO:0025131) or a constituent cellular component (GO:0005575)."" [Gramene:pankaj_jaiswal, TO:cooperl]",plant growth and development trait,,,,"['GO:0032502', 'GO:0048590', 'TO_GIT:248']"
,,,,,female sterility,,,"['""FEMST (related)"" RELATED []']",
,"Ofetn influenced by the environemnt that includes, day light, temperature and geographic location.",,,"""A flowering time trait which is the timing of the flowering (anthesis) of female flowers."" [Gramene:pankaj_jaiswal]",female flowering,,,"['""days to silk (related)"" RELATED []', '""DTSLK (related)"" RELATED []', '""Female flower anthesis (related)"" RELATED []', '""Female flower flowering (related)"" RELATED []', '""FEMFLW (related)"" RELATED []', '""FFLW (related)"" RELATED []']",
,,,,"""Measure of growth or elongation rate of the leaf in a plant."" [Gramene:pankaj_jaiswal]",leaf elongation rate,,,"['""leaf growth rate (related)"" RELATED []', '""LFELRATE (related)"" RELATED []']",
,,,,"""A shoot axis morphology trait (TO:0000739) which is the quality of a stem (PO:0009047)."" [Gramene:pankaj_jaiswal, PO:0009047, TO:moorel]",stem morphology trait,,,"['""core morphology trait  (narrow)"" NARROW []']",['TO_GIT:157']
,,,,"""Changes monitored in leaf collar color."" [IRRI:SES]",leaf collar color,,,"['""CC (related)"" RELATED []', '""collar color (related)"" RELATED []', '""LFCCL (related)"" RELATED []']",
,"Often influenced by the environment that includes, daylight, temperature and geographic location.",,,"""A flowering time trait (TO:0002616) which is the timing of the flowering (anthesis) of male flowers."" [Gramene:pankaj_jaiswal]",male flowering,,,"['""male flower anthesis (related)"" RELATED []', '""male flower flowering (related)"" RELATED []', '""MALEFLW (related)"" RELATED []', '""MFLW (related)"" RELATED []']",
,,,,"""Measure of time taken by the reproductive growth phase in a plant's life cycle."" [Gramene:pankaj_jaiswal]",reproductive growth time,,,"['""RGTM (related)"" RELATED []']",
,,,,"""The changes in the color of basal leaf sheath."" [IRRI:SES]",basal leaf sheath color,,,"['""BALFSCL (related)"" RELATED []', '""BLSC (related)"" RELATED []']",
,,,,,shoot elongation rate,,,"['""elongation of plant height (related)"" RELATED []', '""SHELRATE (related)"" RELATED []']",
,,,,"""Measure of the vegetative growth phase time in a plant's life cycle."" [Gramene:pankaj_jaiswal]",vegetative growth time,,,"['""VGTM (related)"" RELATED []']",
,"Actual measurements, in centimeters of the widest portion of the leaf. To be precise use the children terms leaf lamina width (TO:0002720) or  'leaf sheath width (TO:0002721). Refers to width (PATO:0000921) A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite. If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",,,"""A leaf size (TO:0002637) trait which the width of a leaf (PO:0025034)."" [IRRI:SES, PO:0025034, TO:cooperl, TO:moorel]",leaf width,,,"['""LFWD (related)"" RELATED []', '""lfwid (related)"" RELATED [MaizeGDB_QTL:61714]', '""LW (related)"" RELATED []']","['MaizeGDB_QTL:61714', 'PATO:0000921', 'TO_GIT:247']"
,,,,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [Gramene:pankaj_jaiswal, TO:cooperl]",yield trait,,,"['""YLD (related)"" RELATED []']",
,,,,"""Ratio of amount of amylose to amylopectin content."" [Gramene:pankaj_jaiswal]",amylose to amylopectin ratio,,,"['""AMYAMYPCTRO (related)"" RELATED []']",
"['TO:0000363', 'TO:0000584', 'TO:0000585']",,,,"""A reproductive shoot system morphology trait (TO:0000786) that is a quality of an inflorescence (PO:0009049)."" [Gramene:pankaj_jaiswal, PO:0009049]",inflorescence morphology trait,,,"['""Head morphology trait (narrow)"" NARROW []', '""inflorescence structure trait (related)"" RELATED []']","['TO_GIT:92', 'TO_GIT:97']"
,"Breakdown is usually associated with the tendency of gelatinized starch granules to break during holding at high temperature, accompanied with continuous shearing (Han and Hamaker 2001). Breakdown is usually calculated from a resulting viscogram by subtracting trough from peak viscosity. The increase in rice flour breakdown viscosity, although not always significant (P < 0.05), suggests a greater protection of the starch granule integrity. This probably is due to the increased affinity of proteins to interact with starch, as a result of protein denaturation. The resulting formation of protein–starch complexes tends to increase rice flour peak viscosity.",,,"""A cooking quality trait that is the tendency of gelatinized starch granules to break during cooking, especially at high temperature."" [PMCID:PMC434838, TO:cooperl]",breakdown viscosity,,,"['""BRKVIS (related)"" RELATED []']",
,Refer to width PATO:0000921: A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite. Refer to length (PATO:0000122): A 1-D extent quality which is equal to the distance between two points. Refer to size (PATO:0000117): A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude. Size categories ranging from small to medium to large.,,,"""A grain length to width ratio (TO:0002731) which is determined from grain length and grain width on dehulled unpolished rice grain."" [Gramene:pankaj_jaiswal, TO:moorel]",brown rice length to width ratio,,,"['""brown rice length to width ratio (related)"" RELATED []', '""BRWRRO (related)"" RELATED []']","['PATO:0000117', 'PATO:0000122', 'PATO:0000921']"
,,,,,consistency viscosity,,,"['""CONVIS (related)"" RELATED []']",
,,,,,cooked grain elongation,,,"['""CKKEL (related)"" RELATED []', '""cooked kernel elongation (related)"" RELATED []']",
,,,,"""Causal agent: Monographella albescens (Microdochium oryzae). Symptoms: the lesions occurs mostly near leaf tips, but sometimes start at the margin of the blade and develops into large ellipsoid areas encircled by dark-brown, narrow bands accompanied by a light-brown halo."" [Gramene:pankaj_jaiswal, IRRI:SES]",leaf scald disease resistance,,,"['""LFSRS (related)"" RELATED []', '""LSc (related)"" RELATED []']",
,,,,,cool paste viscosity,,,"['""CPVIS (related)"" RELATED []']",
,,,,"""The percentage of cracked dehulled grain with most of the size still intact."" [Gramene:pankaj_jaiswal]",cracked grain percentage,,,"['""CRKGRPCENT (related)"" RELATED []', '""fissured grain percentage (related)"" RELATED []']",
['TO:0000533'],"Thousand grain weights are measured in grams on a precision balance on 100 well-developed whole grains (with the caryopsis hull; PO:0006000), dried to 13% moisture content.",,,"""A grain weight (TO:0000919) which is the weight of a sample of 1000 grains (caryopsis fruit; PO:0030104), with the caryopsis hull (PO:0006000)."" [Gramene:pankaj_jaiswal]",1000-grain weight,,,"['""1000-grain weight (exact)"" EXACT []', '""TGRWT (exact)"" EXACT []', '""thousand grain weight (exact)"" EXACT []', '""thousand seed weight (related)"" RELATED []', '""TSDWT (related)"" RELATED []']",
,,,,"""Percentage opaque white area in the kernel belly."" [Gramene:pankaj_jaiswal]",grain belly percent white,,,"['""GRBPCENTWHT (related)"" RELATED []']",
,,,,"""An assay to determine the resistance exhibited by a plant or a group of plants (population) in response to nematode infestation as compared to the susceptible and/or the reference plants of the same species."" [Gramene:pankaj_jaiswal]",nematode damage resistance,,,"['""NDRS (related)"" RELATED []']",
,"For color of the dehulled grain, see pericarp color (TO:0000707).  Refer to color PATO:0000014: A composite chromatic quality composed of hue, saturation and intensity parts.",,,"""A fruit color (TO:0002617) trait which is the color of dehulled, milled grain, which does not have pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, PO:0009084, TO:moorel]",milled grain color,,,"['""GRCL (related)"" RELATED []', '""MGRCL (related)"" RELATED []']",['PATO:0000014']
,,,,"""Causal agent: rice ragged stunt virus (RRSV). Symptoms: plants are stunted but remain dark green. Leaves are ragged and twisted. Vein swelling on leaf collar, leaf blades and leaf sheaths."" [Gramene:pankaj_jaiswal\,, IRRI:SES]",rice ragged stunt virus resistance,,,"['""RSVRS (related)"" RELATED []']",
,"This includes physiological, molecular and biochemical traits as well.",jaiswalp,,"""A measurable or observable characteristic of a cellular component (GO:0005575), biological process (GO:0008150) or molecular function (GO:0003674) that is part of, or has participant a plant anatomical entity (PO:0025131) and/or a plant structure development stage (PO:0009012)."" [GO:0003674, GO:0005575, GO:0008150, Gramene:pankaj_jaiswal, PO:0009012, PO:0025131, TO:cooperl]",plant trait,,,"['""plant phenotype (related)"" RELATED []', '""plant quality (related)"" RELATED []']",['TO_GIT:52']
,,,,"""Yield of forage matter upon harvest."" [Gramene:pankaj_jaiswal]",forage yield,,,"['""FRGYLD (related)"" RELATED []', '""FY (related)"" RELATED []', '""straw yield (related)"" RELATED []']",
,,,,"""Shows mendelian inheritance, caused by genetic modifications or mutations in the nuclear genome."" [Gramene:pankaj_jaiswal, IRRI:SES]",nuclear mediated male sterility,,,,['scale:6']
,,,,"""Percentage opaque white area in the kernel core."" [Gramene:pankaj_jaiswal]",grain core percent white,,,"['""GRCPCENTWHT (related)"" RELATED []']",
,Seed size is determined by the ratio of the seed length to seed width and is a component of seed quality (TO:0000162).  Seed size may be a qualitative measure or may be organized into categories ranging from small to medium to large.  Refers to size (PATO:0000117): A morphology quality  inhering in a bearer by virtue of the bearer's physical magnitude.,,,"""A seed morphology trait (TO:0000184) which is the size of a seed (PO:0009010)."" [Gramene:pankaj_jaiswal, PO:0009010, TO:cooperl]",seed size,,,,"['PATO:0000117', 'TO_GIT:183']"
,,,,""" A plant trait (TO:0000387) which is a measure of either the fertility or sterility, contributed by nonfunctional male and or female plant parts or their incompatible interaction. This also includes traits on seed setting behavior in the fruit (caryopsis) of a grass plant that can be assayed in terms of spikelet sterility or fertility."" [Gramene:pankaj_jaiswal]",sterility or fertility trait,,,,
,,,,"""Response by the plant in terms of sensitivity to sufficiently prolonged water deficit/scarcity or scanty water content in the soil or growth medium, that can cause damage to the plant."" [Gramene:pankaj_jaiswal]",drought related trait,,,"['""dessication related trait (related)"" RELATED []']",
,"In rice, the grain yield is often measured in kilograms per hectare at 14 percent moisture, if the experiment was done on a field trial.",,,"""A fruit yield trait (TO:0000871) that is the amount of grain."" [IRRI:SES, TO:contributors, TO:cooperl]",grain yield trait,,,"['""GRYLD (related)"" RELATED []', '""Yld (related)"" RELATED []']",['TO_GIT:242']
,Refer to size (PATO:0000117): A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude. Size categories ranging from small to medium to large.,,,"""A fruit size (TO:0002625) which is the size of a dehulled, milled grain without pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, PO:0009084, TO:moorel]",grain size,,,"['""GRSZ (related)"" RELATED []']",
,,,,"""A plant structure morphology trait (TO:0000839) which is a quality of a whole plant (PO:0000003)."" [PO:0000003, TO:cooperl]",whole plant morphology trait,,,,
,,,,"""A grain quality trait (TO:0000399) which is the thickness of a dehulled grain with a pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, PO:0009084, TO:moorel]",grain thickness,,,"['""GRTH (related)"" RELATED []']",['TO_GIT:264']
,"Refer to color PATO:0000014: A composite chromatic quality composed of hue, saturation and intensity parts.",,,"""A lemma morphology trait (TO:1000023) which is the color of the sterile lemma (PO:0009040)."" [IRRI:SES, PATO:0000014, PO:0009040, TO:cooperl, TO:moorel]",sterile lemma color,,,"['""SLmC (related)"" RELATED []', '""STLEMCL (related)"" RELATED []']",
,,,,"""A chemical stress sensitivity (TO:0000482) which is the tolerance exhibited by a plant or a group of plants (population) towards the plant growth hormone."" [TO:cooperl]",plant growth hormone sensitivity,,,"['""growth regulator sensitivity (related)"" RELATED []', '""plant hormone response (related)"" RELATED []']",
,Refer to width PATO:0000921: A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite.,,,"""A grain width (TO:0000975) which is the width of the dehulled grain with pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, PO:0009084, TO:moorel]",dehulled grain width,,,"['""dehulled grain curved width (narrow)"" NARROW []', '""dehulled grain width (exact)"" RELATED []', '""DHULGRWD (exact)"" RELATED []', '""GRWD (broad)"" RELATED []', '""width of grain without hull (exact)"" EXACT []']","['PATO:0000921', 'TO_GIT:123']"
,,,,"""Causal agent: Cnaphalocrosis medinalis, Marasmia patnalis. Symptoms: larvae consume the leaf tissue except the epidermis, causing typical white streaks. They create a leaf tube during later stages of feeding. Plant is susceptible and resistant check (if available) after every 10-test entries. Replicate the test three times, if seed is available. Determined by percentage of damaged and folded leaves."" [Gramene:pankaj_jaiswal, IRRI:SES]",leaf-folder resistance,,,"['""LF (related)"" RELATED []', '""LFFRS (related)"" RELATED []']",
,,,,"""Extent of rooting from the nodes on a stem."" [Gramene:pankaj_jaiswal]",nodal rooting,,,,
,,,,"""Causal agent: Nymphula depunctalis. Symptoms: Larvae feed on leaf tissue, leaving only the papery upper epidermis."" [Gramene:pankaj_jaiswal, IRRI:SES]",caseworm resistance,,,"['""CW (related)"" RELATED []', '""CWRS (related)"" RELATED []', '""float worm (related)"" RELATED []', '""hama putih (indonesian) (related)"" RELATED []', '""paddy caseworm (related)"" RELATED []']",
,,,,"""A panicle morphology trait (TO:0000847) which is the percentage of shattered grains, determined by firmly grasping and pulling the hand over the panicle."" [IRRI:SES]",panicle threshability,,,"['""PNTH (related)"" RELATED []', '""Thr (related)"" RELATED []']",
,,,,,hot paste viscosity,,,"['""HPVIS (related)"" RELATED []']",
,,,,,peak viscosity,,,"['""PVIS (related)"" RELATED []']",
,,,,"""Total protein content of the polished rice."" [Gramene:pankaj_jaiswal]",polished rice protein content,,,"['""POLRPROTCN (related)"" RELATED []']",
,,,,"""A caryopsis fruit morphology trait (TO:0001079) which is the ratio of grain length (TO:0000734) to grain width (TO:0002762), including the caryopsis hull (PO:0006000)."" [Gramene:pankaj_jaiswal]",grain length to width ratio,,,"['""GRLGWDRO (exact)"" EXACT []', '""SDLGWDRO (related)"" RELATED []']",
,,,,"""Determined by deducting the peak viscosity from the cool paste viscosity."" [Gramene:pankaj_jaiswal37]",setback viscosity,,,"['""setback (related)"" RELATED []', '""SETBK (related)"" RELATED []', '""SETBKVIS (related)"" RELATED []']",
,,,,"""Causal agent: Rice tungro bacilliform virus (RTBV) and rice tungro spherical virus (RTSV). The disease is transmitted by the green leafhopper Nephotettix spp. Symptoms: Yellow-to-yellow orange leaves, stunting and slightly reduced tillering."" [Gramene:pankaj_jaiswal, IRRI:SES, web:http//www.fao.org/inpho/vlibrary/t0567e/T0567E03.htm]",rice tungro virus resistance,,,"['""RTD (related)"" RELATED []', '""RTVRS (related)"" RELATED []']",
,,,,,white rice protein content,,,"['""polished rice protein (related)"" RELATED []', '""protein content for polished rice (related)"" RELATED []', '""WHTRPROTCN (related)"" RELATED []']",
,An example is CMS-HL in rice.,,,"""Abortion at bi-nucleate stage of microspore development."" [Gramene:pankaj_jaiswal, IRRI:SES]",aborted bi-nucleate stage,,,"['""BNUABR (related)"" RELATED []']",
,,,,"""Abortion of the embryo sac leading to female sterility."" [Gramene:pankaj_jaiswal]",embryo sac abortion,,,"['""EBSABR (related)"" RELATED []']",
,Refer to pubescent hair (PATO:0001320): A pilosity quality of being covered with short hairs or soft down.,,,"""A lemma and palea morphology trait (TO:0000079) which is the extent of pubescence (hairs) on the lemma (PO:0009037) and palea (PO:0009038)."" [IRRI:SES, PO:0009037, PO:0009038, TO:moorel]",lemma and palea pubescence,,,"['""LmPb (related)"" RELATED []']",['PATO:0001320']
,,,,"""Causal agent: Gibberella fujikuroi. Symptoms: the plant elongates abnormally, has few tillers and usually dies before producing grains."" [Gramene:pankaj_jaiswal, IRRI:SES]",bakanae disease resistance,,,"['""Bak (related)"" RELATED []', '""BKRS (related)"" RELATED []']",
,,jaiswalp,,"""A leaf morphology trait (TO:0000748) which is a quality of a vascular leaf (PO:0009025)."" [Gramene:pankaj_jaiswal, PO:0009025, TO:cooperl]",vascular leaf morphology trait,,,,['TO_GIT:60']
,,,,,fertility related trait,,,,
,,,,,pollen fertility,,,"['""POFRT (related)"" RELATED []']",
,,,,"""Causal agent: Sphaerulina oryzina (Cercospora janseana)."" [Gramene:pankaj_jaiswal, IRRI:SES]",narrow brown leaf spot disease resistance,,,"['""NBLFSPRS (related)"" RELATED []', '""NBLS (related)"" RELATED []']",
,,,,"""Causal agent: Orseolia oryzae. For the field test to be valid more than 60% of the plants should be affected with not less than 15% silver shoot in the susceptible check. Similarly, 60% of the plants in susceptible check should show silver shoots under green house tests. If any of the test entry in the field evaluation exhibits damage less than 10%, on plant basis, rate it on scale-0, since such a damage could be due to other reasons. Monitor at growth stage 2-5."" [IRRI:SES]",gall midge resistance,,,"['""GM (related)"" RELATED []', '""GMRS (related)"" RELATED []']",
,,,,"""Causal agent: Nilparvata lugens (also Nilaparvata lugens). Symptoms: partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy."" [Gramene:pankaj_jaiswal, IRRI:SES]",brown planthopper resistance,,,"['""BPH (related)"" RELATED []', '""BPHRS (related)"" RELATED []']",
,,,,,anther culturability,,,"['""ANTCAB (related)"" RELATED []', '""anther culture response (related)"" RELATED []']",
,,,,"""A stem internode morphology trait (TO:0000756) which is the color of the stem internode (PO:0020142)."" [IRRI:SES, TO:cooperl]",stem internode color,,,"['""CmlC (related)"" RELATED []', '""culm internode color (related)"" RELATED []', '""INCL (related)"" RELATED []']","['TO_GIT:317', 'TO_GIT:64']"
